iteration,p0_avg_heads,p0_avg_tails,p1_avg_heads,p1_avg_tails,p0_best_response,p1_best_response,full_exploitability
345,0.531792,0.468208,0.505780,0.494220,0,1,3.757225e-02
346,0.533141,0.466859,0.504323,0.495677,0,1,3.746398e-02
347,0.534483,0.465517,0.502874,0.497126,0,1,3.735632e-02
348,0.535817,0.464183,0.501433,0.498567,0,1,3.724928e-02
349,0.537143,0.462857,0.500000,0.500000,0,1,3.714286e-02
350,0.538462,0.461538,0.498575,0.501425,0,1,3.988604e-02
351,0.536932,0.463068,0.497159,0.502841,1,1,3.977273e-02
352,0.535411,0.464589,0.495751,0.504249,1,1,3.966006e-02
353,0.533898,0.466102,0.494350,0.505650,1,1,3.954802e-02
354,0.532394,0.467606,0.492958,0.507042,1,1,3.943662e-02
355,0.530899,0.469101,0.491573,0.508427,1,1,3.932584e-02
356,0.529412,0.470588,0.490196,0.509804,1,1,3.921569e-02
357,0.527933,0.472067,0.488827,0.511173,1,1,3.910615e-02
358,0.526462,0.473538,0.487465,0.512535,1,1,3.899721e-02
359,0.525000,0.475000,0.486111,0.513889,1,1,3.888889e-02
360,0.523546,0.476454,0.484765,0.515235,1,1,3.878116e-02
361,0.522099,0.477901,0.483425,0.516575,1,1,3.867403e-02
362,0.520661,0.479339,0.482094,0.517906,1,1,3.856749e-02
363,0.519231,0.480769,0.480769,0.519231,1,1,3.846154e-02
364,0.517808,0.482192,0.479452,0.520548,1,1,3.835616e-02
365,0.516393,0.483607,0.478142,0.521858,1,1,3.825137e-02
366,0.514986,0.485014,0.476839,0.523161,1,1,3.814714e-02
367,0.513587,0.486413,0.475543,0.524457,1,1,3.804348e-02
368,0.512195,0.487805,0.474255,0.525745,1,1,3.794038e-02
369,0.510811,0.489189,0.472973,0.527027,1,1,3.783784e-02
370,0.509434,0.490566,0.471698,0.528302,1,1,3.773585e-02
371,0.508065,0.491935,0.470430,0.529570,1,1,3.763441e-02
372,0.506702,0.493298,0.469169,0.530831,1,1,3.753351e-02
373,0.505348,0.494652,0.467914,0.532086,1,1,3.743316e-02
374,0.504000,0.496000,0.466667,0.533333,1,1,3.733333e-02
375,0.502660,0.497340,0.465426,0.534574,1,1,3.723404e-02
376,0.501326,0.498674,0.464191,0.535809,1,1,3.713528e-02
377,0.500000,0.500000,0.462963,0.537037,1,1,3.703704e-02
378,0.498681,0.501319,0.464380,0.535620,1,0,3.693931e-02
379,0.497368,0.502632,0.465789,0.534211,1,0,3.684211e-02
380,0.496063,0.503937,0.467192,0.532808,1,0,3.674541e-02
381,0.494764,0.505236,0.468586,0.531414,1,0,3.664921e-02
382,0.493473,0.506527,0.469974,0.530026,1,0,3.655352e-02
383,0.492188,0.507812,0.471354,0.528646,1,0,3.645833e-02
384,0.490909,0.509091,0.472727,0.527273,1,0,3.636364e-02
385,0.489637,0.510363,0.474093,0.525907,1,0,3.626943e-02
386,0.488372,0.511628,0.475452,0.524548,1,0,3.617571e-02
387,0.487113,0.512887,0.476804,0.523196,1,0,3.608247e-02
388,0.485861,0.514139,0.478149,0.521851,1,0,3.598972e-02
389,0.484615,0.515385,0.479487,0.520513,1,0,3.589744e-02
390,0.483376,0.516624,0.480818,0.519182,1,0,3.580563e-02
391,0.482143,0.517857,0.482143,0.517857,1,0,3.571429e-02
